MA_LUAT,TEN_QUY_TAC,DIEU_KIEN,CANH_BAO,TRANG_THAI
THUOC_02,[Acetyl leucin] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.685' AND (XML1.MA_BENH_CHINH IN ('O21') OR XML1.MA_BENH_KT REGEXP 'O21'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Phụ nữ có thai (O21).,ON
THUOC_05,[Aciclovir] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.260' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4, N18.5).",ON
THUOC_08,[Adrenalin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.86' AND (XML1.MA_BENH_CHINH IN ('I10', 'I20', 'I47') OR XML1.MA_BENH_KT REGEXP 'I10|I20|I47')","⛔ [NGUY HIỂM]: Chống chỉ định tương đối ở bệnh nhân Tăng huyết áp, Đau thắt ngực (I10, I20, I47).",ON
THUOC_13,[Alfuzosin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.412' AND (XML1.MA_BENH_CHINH IN ('K72', 'I95.1') OR XML1.MA_BENH_KT REGEXP 'K72|I95\.1')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan (K72) hoặc Có tiền sử Hạ huyết áp tư thế (I95.1).,ON
THUOC_16,[Alimemazin tartrat] Chống chỉ định,"XML2.MA_THUOC == '40.987' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'K72') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy gan/thận nặng (N18.4, K72).",ON
THUOC_19,[Allopurinol] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.59' AND (XML1.MA_BENH_CHINH IN ('N18.4', 'N18.5', 'K72') OR XML1.MA_BENH_KT REGEXP 'N18\.4|N18\.5|K72')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Suy thận nặng (N18.4) hoặc Suy gan nặng (K72).,ON
THUOC_24,[Ambroxol HCl] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.988' AND (XML1.MA_BENH_CHINH IN ('K25', 'K26') OR XML1.MA_BENH_KT REGEXP 'K25|K26')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Loét dạ dày tiến triển (K25, K26).",ON
THUOC_27,[Amiodaron] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.483' AND (XML1.MA_BENH_CHINH IN ('I44.2', 'I44.3', 'E05', 'R00.1') OR XML1.MA_BENH_KT REGEXP 'I44\.2|I44\.3|E05|R00\.1')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Block AV độ 2-3 (I44), Cường giáp (E05), Nhịp chậm (R00.1).",ON
THUOC_29,[Amitriptylin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.961' AND (XML1.MA_BENH_CHINH IN ('I21', 'I44.2', 'I44.3', 'G40') OR XML1.MA_BENH_KT REGEXP 'I21|I44\.2|I44\.3|G40')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân NMCT cấp (I21), Block tim (I44), Tiền sử Động kinh (G40).",ON
THUOC_32,[Amlodipin + valsartan] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.30.501' AND (XML1.MA_BENH_CHINH IN ('O21', 'N18.4', 'N18.5', 'K72') OR XML1.MA_BENH_KT REGEXP 'O21|N18\.4|N18\.5|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Phụ nữ có thai (O21), Suy thận nặng (N18.4, N18.5) hoặc Suy gan nặng (K72).",ON
THUOC_35,[Amlodipin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.491' AND (XML1.MA_BENH_CHINH IN ('I95.1', 'O21') OR XML1.MA_BENH_KT REGEXP 'I95\.1|O21')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Hạ huyết áp (I95.1) hoặc Phụ nữ có thai (O21).,ON
THUOC_37,[Amlodipine + Lisinopril] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.30.497' AND (XML1.MA_BENH_CHINH IN ('O21', 'N18.4', 'N18.5', 'I95.1', 'K72') OR XML1.MA_BENH_KT REGEXP 'O21|N18\.4|N18\.5|I95\.1|K72')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho Phụ nữ có thai (O21), Suy thận/gan nặng (N18.4, N18.5, K72), Hạ huyết áp (I95.1).",ON
THUOC_40,[Amoxicilin + acid clavulanic] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.155' AND (XML1.MA_BENH_CHINH IN ('Z88.0', 'K71') OR XML1.MA_BENH_KT REGEXP 'Z88\.0|K71')",⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử Dị ứng Penicillin (Z88.0) hoặc Bệnh gan do thuốc (K71).,ON
THUOC_43,[Amoxicillin] Chống chỉ định lâm sàng,XML2.MA_THUOC == '40.154' AND (XML1.MA_BENH_CHINH IN ('Z88.0') OR XML1.MA_BENH_KT REGEXP 'Z88\.0'),⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân có tiền sử dị ứng Penicillin (Z88.0).,ON
THUOC_47,[Atorvastatin + ezetimibe] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.30.567' AND (XML1.MA_BENH_CHINH IN ('K71', 'K72', 'O21', 'O92') OR XML1.MA_BENH_KT REGEXP 'K71|K72|O21|O92')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Bệnh gan tiến triển (K71, K72), Phụ nữ có thai hoặc cho con bú (O21, O92).",ON
THUOC_50,[Atorvastatin] Chống chỉ định lâm sàng,"XML2.MA_THUOC == '40.549' AND (XML1.MA_BENH_CHINH IN ('K71', 'K72', 'O21') OR XML1.MA_BENH_KT REGEXP 'K71|K72|O21')","⛔ [NGUY HIỂM]: Thuốc chống chỉ định cho bệnh nhân Viêm gan cấp (K71), Suy gan nặng (K72), Phụ nữ có thai (O21).",ON
